"k","frac_covered","gene","superpop"
1,0.451292246520875,"KIF5B","EUR"
2,0.588469184890656,"KIF5B","EUR"
3,0.588469184890656,"KIF5B","EUR"
1,0.505112474437628,"KIF5B","SAS"
2,0.633946830265849,"KIF5B","SAS"
3,0.6359918200409,"KIF5B","SAS"
4,0.6359918200409,"KIF5B","SAS"
1,0.497730711043873,"MTOR","AFR"
2,0.733736762481089,"MTOR","AFR"
3,0.794251134644478,"MTOR","AFR"
4,0.818456883509834,"MTOR","AFR"
5,0.832072617246596,"MTOR","AFR"
6,0.838124054462935,"MTOR","AFR"
7,0.844175491679274,"MTOR","AFR"
8,0.847201210287443,"MTOR","AFR"
9,0.848714069591528,"MTOR","AFR"
10,0.850226928895613,"MTOR","AFR"
11,0.850226928895613,"MTOR","AFR"
1,0.403458213256484,"MTOR","AMR"
2,0.475504322766571,"MTOR","AMR"
3,0.484149855907781,"MTOR","AMR"
4,0.489913544668588,"MTOR","AMR"
5,0.492795389048991,"MTOR","AMR"
6,0.492795389048991,"MTOR","AMR"
1,0.369047619047619,"MTOR","EAS"
2,0.408730158730159,"MTOR","EAS"
3,0.416666666666667,"MTOR","EAS"
4,0.420634920634921,"MTOR","EAS"
5,0.420634920634921,"MTOR","EAS"
1,0.393638170974155,"MTOR","EUR"
2,0.437375745526839,"MTOR","EUR"
3,0.449304174950298,"MTOR","EUR"
4,0.453280318091451,"MTOR","EUR"
5,0.455268389662028,"MTOR","EUR"
6,0.457256461232604,"MTOR","EUR"
7,0.457256461232604,"MTOR","EUR"
1,0.445807770961145,"MTOR","SAS"
2,0.523517382413088,"MTOR","SAS"
3,0.550102249488753,"MTOR","SAS"
4,0.572597137014315,"MTOR","SAS"
5,0.578732106339468,"MTOR","SAS"
6,0.58077709611452,"MTOR","SAS"
7,0.58282208588957,"MTOR","SAS"
8,0.584867075664622,"MTOR","SAS"
9,0.584867075664622,"MTOR","SAS"
1,0.547655068078669,"NLRP3","AFR"
2,0.776096822995461,"NLRP3","AFR"
3,0.901664145234493,"NLRP3","AFR"
4,0.947049924357035,"NLRP3","AFR"
5,0.97125567322239,"NLRP3","AFR"
6,0.984871406959153,"NLRP3","AFR"
7,0.992435703479576,"NLRP3","AFR"
8,0.995461422087746,"NLRP3","AFR"
9,0.99697428139183,"NLRP3","AFR"
10,0.99697428139183,"NLRP3","AFR"
1,0.527377521613833,"NLRP3","AMR"
2,0.749279538904899,"NLRP3","AMR"
3,0.867435158501441,"NLRP3","AMR"
4,0.92507204610951,"NLRP3","AMR"
5,0.948126801152738,"NLRP3","AMR"
6,0.965417867435158,"NLRP3","AMR"
7,0.971181556195965,"NLRP3","AMR"
8,0.976945244956772,"NLRP3","AMR"
9,0.979827089337176,"NLRP3","AMR"
10,0.979827089337176,"NLRP3","AMR"
1,0.503968253968254,"NLRP3","EAS"
2,0.761904761904762,"NLRP3","EAS"
3,0.878968253968254,"NLRP3","EAS"
4,0.932539682539683,"NLRP3","EAS"
5,0.96031746031746,"NLRP3","EAS"
6,0.972222222222222,"NLRP3","EAS"
7,0.978174603174603,"NLRP3","EAS"
8,0.982142857142857,"NLRP3","EAS"
9,0.984126984126984,"NLRP3","EAS"
10,0.984126984126984,"NLRP3","EAS"
1,0.520874751491054,"NLRP3","EUR"
2,0.769383697813121,"NLRP3","EUR"
3,0.892644135188867,"NLRP3","EUR"
4,0.944333996023857,"NLRP3","EUR"
5,0.964214711729622,"NLRP3","EUR"
6,0.976143141153082,"NLRP3","EUR"
7,0.984095427435388,"NLRP3","EUR"
8,0.986083499005964,"NLRP3","EUR"
9,0.988071570576541,"NLRP3","EUR"
10,0.990059642147117,"NLRP3","EUR"
11,0.990059642147117,"NLRP3","EUR"
1,0.539877300613497,"NLRP3","SAS"
2,0.805725971370143,"NLRP3","SAS"
3,0.91002044989775,"NLRP3","SAS"
4,0.961145194274029,"NLRP3","SAS"
5,0.973415132924335,"NLRP3","SAS"
6,0.983640081799591,"NLRP3","SAS"
7,0.985685071574642,"NLRP3","SAS"
8,0.987730061349693,"NLRP3","SAS"
9,0.987730061349693,"NLRP3","SAS"
1,0.502269288956127,"PIK3CA","AFR"
2,0.659606656580938,"PIK3CA","AFR"
3,0.695915279878971,"PIK3CA","AFR"
4,0.712556732223903,"PIK3CA","AFR"
5,0.726172465960666,"PIK3CA","AFR"
6,0.72768532526475,"PIK3CA","AFR"
7,0.729198184568835,"PIK3CA","AFR"
8,0.729198184568835,"PIK3CA","AFR"
1,0.507204610951009,"PIK3CA","AMR"
2,0.631123919308357,"PIK3CA","AMR"
3,0.657060518731988,"PIK3CA","AMR"
4,0.671469740634006,"PIK3CA","AMR"
5,0.680115273775216,"PIK3CA","AMR"
6,0.68299711815562,"PIK3CA","AMR"
7,0.68299711815562,"PIK3CA","AMR"
1,0.384920634920635,"PIK3CA","EAS"
2,0.41468253968254,"PIK3CA","EAS"
3,0.426587301587302,"PIK3CA","EAS"
4,0.426587301587302,"PIK3CA","EAS"
1,0.506958250497018,"PIK3CA","EUR"
2,0.642147117296223,"PIK3CA","EUR"
3,0.679920477137177,"PIK3CA","EUR"
4,0.705765407554672,"PIK3CA","EUR"
5,0.709741550695825,"PIK3CA","EUR"
6,0.713717693836978,"PIK3CA","EUR"
7,0.715705765407555,"PIK3CA","EUR"
