"k","mean","lo","hi","gene"
8,0.62647124600639,0.599640575079872,0.667332268370607,"SPTLC1"
9,0.638003993610224,0.619808306709265,0.670926517571885,"SPTLC1"
10,0.649436900958466,0.644369009584664,0.674920127795527,"SPTLC1"
1,0.335518370607029,0.26517571884984,0.405051916932907,"STAT1"
2,0.521032747603834,0.482128594249201,0.583166932907348,"STAT1"
3,0.639998402555911,0.60223642172524,0.694888178913738,"STAT1"
4,0.713722843450479,0.684904153354633,0.757687699680511,"STAT1"
5,0.758367412140575,0.732627795527157,0.796026357827476,"STAT1"
6,0.790981629392971,0.771964856230032,0.822384185303514,"STAT1"
7,0.814475239616613,0.796325878594249,0.841453674121406,"STAT1"
8,0.8297803514377,0.812200479233227,0.854732428115016,"STAT1"
9,0.842583865814696,0.827875399361022,0.864217252396166,"STAT1"
10,0.85292571884984,0.840255591054313,0.871006389776358,"STAT1"
1,0.392595047923323,0.37779552715655,0.432507987220447,"STAT3"
2,0.500255591054313,0.466753194888179,0.534345047923323,"STAT3"
3,0.558210063897764,0.521166134185304,0.600239616613419,"STAT3"
4,0.592525559105431,0.553514376996805,0.62779552715655,"STAT3"
5,0.618452875399361,0.582667731629393,0.644568690095847,"STAT3"
6,0.635141373801917,0.606130191693291,0.656649361022364,"STAT3"
7,0.651507188498403,0.627096645367412,0.667931309904153,"STAT3"
8,0.664102236421725,0.641373801916933,0.678214856230032,"STAT3"
9,0.673555111821086,0.648162939297125,0.684904153354633,"STAT3"
10,0.683049520766773,0.656050319488818,0.691793130990415,"STAT3"
